"hump","arch one''s back"
"additional","further or added; ""called for additional troops""; ""need extra help""; ""an extra pair of shoes""; ""I have no other shoes""; ""there are other possibilities"""
"intercalary","added or having an addition to make the calender year correspond to the solar year; ""Feb. 29 is an intercalary day""; ""leap year is an intercalary year"""
"side(a)","added as a consequence or supplement; ""a side benefit"""
"superimposed","added or imposed without integration; ""the superimposed symbolism lacked validity""; ""superimposed periodic variation"""
"supplementary","added to complete or make up a deficiency; ""produced supplementary volumes""; ""additional reading"""
"supplemental","added to complete or make up a deficiency; ""produced supplementary volumes""; ""additional reading"""
"additional","added to complete or make up a deficiency; ""produced supplementary volumes""; ""additional reading"""
"subtracted","taken away"
"ablated","removed or taken away by cutting or erosion or melting or evaporation; ""my ablated appendix"""
"deducted","taken off or taken away from a total; ""take-home pay is what is left after subtraction of deducted taxes"""
"addicted","compulsively or physiologically dependent on something habit-forming; ""she is addicted to chocolate""; ""addicted to cocain"""
"alcoholic","addicted to alcohol; ""alcoholic expatriates in Paris""- Carl Van Doren"
"chronic","having a habit of long standing; ""a chronic smoker"""
"confirmed","having a habit of long standing; ""a chronic smoker"""
"habitual","having a habit of long standing; ""a chronic smoker"""
"inveterate(a)","having a habit of long standing; ""a chronic smoker"""
"dependent","addicted to a drug"
"dependant","addicted to a drug"
"hooked","addicted to a drug"
"unaddicted","not addicted"
"clean","free of drugs; ""after a long dependency on heroin she has been clean for 4 years"""
"addictive","causing or characterized by addiction; ""addictive drugs""; ""addictive behavior"""
"nonaddictive","not causing or characterized by addiction; ""for years tobacco companies have contended that tobacco is nonaddictive"""
"additive","characterized or produced by addition; ""an additive process"""
"accumulative","increasing by successive addition; ""the benefits are cumulative""; ""the eventual accumulative effect of these substances"""
"cumulative","increasing by successive addition; ""the benefits are cumulative""; ""the eventual accumulative effect of these substances"""
"addable","capable of being added or added to"
"addible","capable of being added or added to"
"summational","of or relating to a summation or produced by summation"
"summative","of or relating to a summation or produced by summation"
"subtractive","constituting or involving subtraction; ""a subtractive correction"""
"ablative","tending to ablate; i.e. to be removed or vaporized at very high temperature; ""ablative material on a rocket cone"""
"reductive","characterized by or causing diminution or curtailment; ""their views of life were reductive and depreciabory"" - R.H.Rovere"
"addressed","of mail; marked with a destination; ""I throw away all mail addressed to `resident''"""
"unaddressed","not addressed; ""an unaddressed envelope"""
"adequate","(sometimes followed by `to'') meeting the requirements especially of a task; ""she had adequate training""; ""her training was adequate""; ""she was adequate to the job"""
"capable","having the requisite qualities for; ""equal to the task""; ""the work isn''t up to the standard I require"""
"competent","adequate for the purpose; ""a competent performance"""
"inadequate","(sometimes followed by `to'') not meeting the requirements especially of a task; ""inadequate training""; ""the staff was inadequate""; ""she was inadequate to the job"""
"deficient","inadequate in amount or degree; ""a deficient education""; ""deficient in common sense""; ""lacking in stamina""; ""tested and found wanting"""
"lacking(p)","inadequate in amount or degree; ""a deficient education""; ""deficient in common sense""; ""lacking in stamina""; ""tested and found wanting"""
"wanting(p)","inadequate in amount or degree; ""a deficient education""; ""deficient in common sense""; ""lacking in stamina""; ""tested and found wanting"""
"incapable","not meeting requirements; ""unequal to the demands put upon him"""
"incompetent","not meeting requirements; ""unequal to the demands put upon him"""
"undermanned","inadequate in number of workers or assistants etc.; ""they''re rather short-handed at the moment""; ""overcrowded and understaffed hospitals"""
"understaffed","inadequate in number of workers or assistants etc.; ""they''re rather short-handed at the moment""; ""overcrowded and understaffed hospitals"""
"adhesive","tending to adhere"
"adherent","sticking fast"
"agglutinate","united as if by glue"
"agglutinative","united as if by glue"
"bondable","capable of holding together or cohering; as particles in a mass"
"coherent","sticking together; ""two coherent sheets""; ""tenacious burrs"""
"tenacious","sticking together; ""two coherent sheets""; ""tenacious burrs"""
"cohesive","causing cohesion; ""a cohesive agent"""
"gluey","having the properties of glue"
"glutinous","having the properties of glue"
"gummy","having the properties of glue"
"mucilaginous","having the properties of glue"
"pasty","having the properties of glue"
"sticky","having the properties of glue"
"viscid","having the properties of glue"
"viscous","having the properties of glue"
"gooey","soft and sticky"
"icky","soft and sticky"
"gummed","treated with adhesive gum"
"pitchy","having the characteristics of pitch or tar"
"resinous","having the characteristics of pitch or tar"
"resiny","having the characteristics of pitch or tar"
"tarry","having the characteristics of pitch or tar"
"nonadhesive","not tending to adhere"
"nonglutinous","not resembling glue in texture"
"nonviscid","not resembling glue in texture"
"nonresinous","not having resin"
"nonresiny","not having resin"
"ungummed","not treated with adhesive gum"
"adjective","applying to methods of enforcement and rules of procedure; ""adjective law"""
"procedural","applying to methods of enforcement and rules of procedure; ""adjective law"""
"substantive","applying to essential legal principles and rules of right; ""substantive law"""
"essential","applying to essential legal principles and rules of right; ""substantive law"""
"adoptable","suitable or eligible for adoption; ""a shortage of adoptable babies"""
"unadoptable","difficult to place in an adoptive home"
"adorned","provided with something intended to increase its beauty or distinction"
"decorated","provided with something intended to increase its beauty or distinction"
"beaded","covered with beads or jewels or sequins"
"beady","covered with beads or jewels or sequins"
"bejeweled","covered with beads or jewels or sequins"
"bejewelled","covered with beads or jewels or sequins"
"bespangled","covered with beads or jewels or sequins"
"gemmed","covered with beads or jewels or sequins"
"jeweled","covered with beads or jewels or sequins"
"jewelled","covered with beads or jewels or sequins"
"sequined","covered with beads or jewels or sequins"
